UID (NE PAS MODIFIER),Mot en luxembourgeois,Genre (m/n/f),Mot en français,Phrase d'exemple en luxembourgeois ,Phrase d'exemple traduite
aae0425ff919,e Sportler (/) eng Sportlerin,m / f,un athlète,,
af37edbcaf61,e Schauspiller (/) eng Schauspillerin,m / f,un acteur,,
9e319da9fd45,e Metzler (/) eng Metzlesch,m / f,un boucher,,
86c848872c62,e Bréifdréier (/) eng Bréifdréiesch,m / f,un facteur,,
6792a009925d,e Caissier (/) eng Caissière,m / f,un caissier,,
a88588c38cfb,zoudecken Deckt d'Wierder zou a kuckt just d'Biller,,"couvrir, border",,
204a15082cac,wielen Wielt eng fiktiv Identitéit,,choisir,,
fb6f150e8a9e,de Kach (/) d'Kächin,m / f,"le chef, cuisinier",,
c81aaa938ff7,d'Medikament[er],n,"le médicament, médicament",,
1065e85e750d,en Apdikter,m,un pharmacien,,
884b39d48923,d'Rechnung[en],f,"la facture, total",,
807c29fe0ae1,e Léierbouf (/) e Léiermeedchen,m / n,un apprenti,,
4e048decc0c2,fierwen,,"colorier, peindre",,
06875f590c62,en Elektriker,m,un électricien,,
5cba336a05e3,d'Käerterchen (Käertercher),n,la ou les cartes (diminutif),,
0b2cfe9610cb,en Iwwersetzer,m,un traducteur,,
32954a5ed34e,den Zänndokter,m,un dentiste,,
601345203757,an enger Praxis,f,dans un cabinet (bureau/cabinet),,
a1f36df1f660,de Bus fir op Mamer,,le bus pour Mamer,,
18ac4d1078cc,d'Gedold,f,la patience,,
3b290d5ec44a,pénktlech,,ponctuel,,
d5b3dfca533e,schaffe ganz präzis(/)prezis,,travail très précis,,
e5acc47dfebc,eng voll Tâche,,un travail complet,,
0001f5d3724b,op d'mannst,,au moins (au minimum),,
7111546131ef,schécken,,envoyer (envoyer),,
f2330ec40669,e Mataarbechter,m,un collègue,,
a0cd8c1e5c6e,d'Kenntness[er],f,la connaissance (d'un sujet),,
0d542d99e00f,en Nohëllefscoursen,m,un cours privé,,
ad6aac667983,tëschent,,entre / entre,,
6f28012d355c,mell dech um,,pour vous inscrire,,
ba351e95d2f9,d'Auer,f,"l'heure, l'horloge",,
66bea7c99e29,ophalen,,tenir/garder ouvert,hien huet der Madamm d'Dier opgehalen,
3b1f5d26cc8b,Tréier,,Trèves,,
df6e3929dc23,leider,,malheureusement,an der Vakanz hate mer leider keng Chance mam Wieder,
df9c6ef6ca93,Freedefeier[en],n,feux d'artifice,mir ginn all Joer um Virowend vum Nationalfeierdag d'Freedefeier kucken,
fd2f18dc28cd,gläich,,"tout de suite, bientôt",,
93108cd7faea,dréngend,,urgent / de toute urgence,,
e4e5044bad30,wéinst Ärer Annonce,,"cause de, à cause de",,
c28be041bd1b,d'Erfarung,f,l'expérience (pratique/connaissances),,
ff4037664ed6,als Monitrice,,comme / en tant que,,
631f5c6c1053,eng Kolonie[n],f,un camp de vacances,,
339323ee4106,dat sinn ech averstan,,je suis d'accord,,
b6c3ad09a92c,géint 6 Auer laanscht,,vers 6h00,,
fd8aa3d94e83,schaffen an + Gebeier,,travailler dans un bâtiment/lieu,,
7d171db70601,schaffe[n] bei + Persounen,,travailler avec une personne / dans un cabinet,,
8c9e846e388f,schaffen op + Administrationen a Plazen,,travailler dans un lieu / un lieu administratif,,
fc7670359889,mateneen,,"ensemble, en même temps",,
d7e7fd06e7ea,eng Verbindung[en],f,"une connexion, un lien",,
561439a6b942,Genf,,Genève,,
b8614b656f12,vum Findel aus,,de Findel (vun…aus),,
1aab0f0118bd,einfach,,"simple, facile",,
aabfbc09c2f3,esouguer,,même (lui-même),,
22dba38c093f,bal all Dag,,presque tous les jours,,
dee4e8f8da66,dat nervt (nerven),,"ça me dérange (agacer, énerver quelqu'un)",,
b159731c15f5,e Frontalier[en],m,un navetteur transfrontalier,,
acda9ec8bf66,beroden,,conseiller / to advise,,
e5135c9995dd,d'Investitioun[en],f,l'investissement,,
bd1dd7ec61f8,de Fitness,m,la salle de sport,,
a71f292c16f9,d'Fitness,f,"forme physique, condition",,
6a2298f27adf,Da passt meng Mann op d'Laura op,,"Ensuite, mon mari s'occupe de Laura.",,
6d860e372c41,vergläichen,,comparer à/avec,,
42eee44b42ee,eng Reiefolleg,f,"un ordre, une séquence",,
a1e188c684d9,logesch,,logique,seng logesch Iwwerleeunge ware fir jidderee verständlech,
345ec2c6d43d,d'Auerzäit[en],f,l'heure (de la journée),,
4550d0553163,de Stréch[er],m,"la ligne, marque",,
8b62863b0792,spéit,,en retard,,
289fd482ae89,de Spaass,m,"amusement, divertissement, plaisir",,
ad888d15e05b,e Gespréich[er],n,"une conversation, un chat",,
fed5fb6123de,strécken,,tricoter,,
ab2c078583b4,erëm,,de nouveau,,
8bb2adf2020a,ausser,,"sauf / unless, except",,
aee2330fae8c,chatten,,discuter (sur Internet),,
f8ed706c0645,de Manifestatiounskalenner,m,le calendrier des événements,,
199738754d99,eng Saach[en],f,une chose / une chose choisie,,
21118191f392,verschidden,,différent (pas le même),,
471c87f49fab,leider,,malheureusement,,
813b4ab2228c,d'Sonn schéngt,,le soleil brille,,
0f7519270331,et ass bedeckt,,Il fait nuageux,,
de248d6ef9a5,et si Wollek[en] um Himmel,f / m,Il fait nuageux (il y a des nuages ​​dans le ciel),,
585c4691d077,et ass vill Loft,f,Il y a beaucoup de vent.,,
5974bd1d7e19,en Ausfluch,m,"une sortie, une excursion",,
e9ba017bc0b6,virum allem,,"avant tout, surtout",,
0ea8e7937446,ech sinn et,,C'est moi,,
af6f5866d56c,schued,,être dommage,,
d58f9d87e04a,bestëmmt,,certainement),,
441d518e9b91,wierklech,,réel,,
65d310156229,eng Propos[en],f,"une proposition, proposition",,
dc0ee90e3142,schmaachen,,"au goût, goûter",,
f2eee39b9a68,klammen,,grimper,,
ed348933fb10,d'Déiere fidderen,,pour nourrir les animaux,,
8fbecf791a6d,en Deel[er],m,"une pièce, un composant",,
3ad8acf5a58c,eng Virstellung,f,"une idée, une présentation",,
aace86c09701,gratis,,gratuit,,
0584ee81eaff,d'Umeldung,f,"inscription, enrôlement",,
bd54b689fdb2,nämmlecht,,le même / même,,
4365774d4dd4,populär,,populaire,,
40657d96bb78,ausprobéieren,,à essayer,,
be0c2655241c,en Ufänger (same pl),m,un débutant,,
28e34746dd6f,den Ofschloss,m,la conclusion,,
68d8c9561960,e Sprangschlass,n,un château gonflable,,
9bcd901300d1,Béier vum Faass,m / n,bière en fût,,
0ab7c16f2419,d'Tombola[en],f,bingo (jeu),,
0d2b686c7a12,wielen,,choisir,,
280166675523,beäntweren,,"répondre (à une lettre, à une question)",,
f75a5e91c823,dohinner = dohin,,là,,
e76cd52be824,en Nopeschland,n,un pays voisin,,
fc1f4cd0a557,de Kéis,m,le fromage,,
9a2902a5898a,d'Ram,f,la crème,,
6a845712b5ee,d'Mëllech,f,le lait,,
add866aa3148,de Botter,m,le beurre,,
5d3f3b28dce4,de Jughurt,m,le yaourt,,
c368e2498e95,d'Wirschterchen [Wirschtercher],m / f,"le hot-dog, saucisse de Francfort",,
78bd30884a94,d'Ham,f,le jambon,,
364f8db72cbc,d'Zoossiss,f,la saucisse,,
cc8313944eb1,de Poulet,m,le poulet,,
624f7629bfcb,d'Rëndfleesch,n,le bœuf,,
7ebd97d14f80,d'Spruddelwaaser,n,l'eau pétillante,,
82e9afa538b0,d'Limonad,f,la limonade,,
3ea21cb1d730,de Jus,m,le jus,,
21b3fa538284,de Wäin,m,le vin,,
a294649a3fc8,de Béier,m,la bière,,
238b87ece981,de Saumon,m,le saumon,,
78593aa1919c,d'Crevette[n],f,la/les crevette(s),,
9df2db8035db,d'Frell,f,la truite,,
90d57213a963,den Tëntefësch,m,la pieuvre,,
2fc38f16010a,d'Mull[en],f,La moule,,
fb3760cb6594,d'Gromper[en],f,La pomme de terre,,
1759297e5dc8,d'Tomat[en],f,La tomate,,
288d43d3bf3e,d'Banann[en],f,La banane,,
94fddc0fb97a,d'Meloun[en],f,Le melon,,
41bcaea1ebd8,d'Kiwi[en],m / f,le(s) kiwi(s),,
1a45a67b24f9,d'Brout,n,le pain,,
a5197d221114,d'Bréitchen [Bréidercher],n,"petit pain, brioche",,
fbe73ac773fe,eng Taart,f,une tarte,,
cc723d5b4ace,e Kuch,m,un gâteau,,
23d98da35efc,eng Baguette,f,une baguette,,
14ae395787ff,Gedrénks (no pl),n,boissons,,
af908293eefc,en Akafsgespréich,n,une conversation sur le shopping,,
694bf91e74ed,de Mëllechprodukt[er],n,le(s) produit(s) laitier(s),,
0d83093daab6,Kommissioun[en] maachen,f,"faire du shopping, faire les courses",,
be56a9e87174,eng Béchs,f,une canette,,
00f8c6e36688,d'Nuddel[en],f,les nouilles,,
1e4f2b186f1c,en Olivenueleg[er],m,l'huile d'olive,,
e42b04c16912,den Hunneg[er],m,Miel,,
0f9105542fb4,en Dëppchen,n,"une casserole, un pot (diminutif)",,
259a0704ce08,e Pak,m,"un paquet, un colis",,
30f0162280fd,eng Fläsch,f,une bouteille,,
9403540ab70b,en Tüb[en],m / f,un tube,,
52fa70ed3bb8,eng Glace,f,une glace,,
1fe438694fb9,de Schockela,m,le chocolat,,
7f874dadc286,eng Lutsch,f,une sucette,,
cd474dca948b,eng Mickymaus,f,une bande dessinée,,
728cf5c2d3ba,e Petzi[en],m,"un ours en peluche, un jouet doux",,
0e5eae5517dc,de Knätsch[en],m,le chewing-gum,,
b285674ce844,e Loftballon[en],m,un ballon,,
0264c213301f,de Schockelasbotter,m,la pâte à tartiner au chocolat,,
687ca3305889,d'Aprikos[en],f,l'abricot,,
01fea8faf124,en Apel [Äppel],m,une pomme,,
a75e8faa1ceb,eng Zalot[en],f,une laitue,,
9c7d9f5d5d4d,d'Spargel[en],f,les asperges,,
fb2df65b25a0,säfteg,,juteux,,
dcefbec4773f,boer,,en espèces,,
e4ffe15bbe17,zréck (/) zeréck,,au retour / retour à quelqu'un,,
c3c8b817ff62,eng Quetsch[en],f,un quetsch,,
b3feeeb4b0bc,eng Orange[n],f,une orange,,
a9a23e6a534b,eng Bier[en],f,une poire,,
d3970fd63959,eng Kiischt[en],f,une cerise,,
52f6c8259579,eng Muert[e],f,une carotte,,
9a8f088f7046,eng Boun[en],f,un haricot,,
3535f0b1db5c,eng Ënn[en],f,un oignon,,
384175e16f9a,en Äerdbier (kee pl),n,fraises,,
9caefe248568,eng Noss [Nëss],f,une noix,,
6de4b3c00772,d'Endung[en],f,la terminaison (d'un mot),,
f678b5f6e713,heefegsten (/) heefeg,,le plus fréquent / fréquent,,
96b23a546e3f,e Pond,,500 g,,
886aade196ea,en hallwe Kilo,,un demi-kilo,,
898756218a72,zeideg,,mûr,,
aa77b06f75a8,séiss,,sucré (goût/petit),,
6d5ff263c447,sauer,,aigre,,
58b58287c40f,dréchen,,sec,,
a52618db2758,eng Aachtchen,f,une pâtisserie en forme de 8,,
34e717cdd5a8,eng Schockelasrull,f,pain au chocolat,,
00465fe5ad93,e Marmerkuch,m,un gâteau marbré,,
5891dcbb1f8f,d'Mëtsch[en],f,la viennoiserie,,
98bf34088bf8,komplizéiert,,compliqué,,
2b099f77847b,Liblingsiessen,n,plat préféré,,
4a2d83c15a08,gesond,,en bonne santé,,
3c2f82c94f88,eng Sort[en],f,une sorte/un genre,,
9bc8b42140c0,réi,,brut,,
e936e9833fc4,gekacht,,cuit,,
1ba6f5f3a84c,frou,,heureux / joyeux,,
c4e11a898034,roude Wäin,m,vin rouge,,
4750cc86fcbe,en Haaptplat,m,un plat principal,,
a33e8eba2943,eng Schampeszooss,f,une sauce aux champignons,,
063ca78056e9,de Spinat,m,les épinards,,
cd86f5ea4eae,e Grompergratin,m,un gratin de pommes de terre,,
ce3bf38e5bc8,eng Uebstzalot,f,une salade de fruits,,
3f94062d2ec6,d'Akafslescht,f,la liste de courses,,
0fa419eef1fd,eng Tranche[n],f,une tranche,,
457e25134b97,de Metzler (same pl),m,le boucher,,
0a2e658866d0,den Dësch decken,,mettre la table,,
ac1fdbaaf2d1,d'Emissioun,f,le programme (télévision/radio),,
1d0898531047,matmaachen,,"pour participer, faites en plus",,
16e4f9c16bd6,e Kandidat,m,un candidat,,
f810ec9b5704,de Gaascht (Gäscht),m,l'invité,,
3c41123463e7,bewäerten,,évaluer/juger,,
38c14d7f16f0,eng Note,f,une note,,
a5d568374d04,exzellent,,excellent,,
95d7f6dbb654,d'Bewäertung,f,la note,,
27e3b0e8a3ee,eng Zigarett,f,une cigarette,,
94e98ddabe4d,Mir hunn en Dësch op den Numm … reservéiert.,,Nous avons réservé une table au nom de…,,
e2ec3d0efefe,Gären,,Avec plaisir,,
f959a9105d02,entweder…oder,,soit… soit,,
51ae8c79d5d0,e Bifdeck,m,un steak,,
314ddce94bed,ech hu Loscht op…,f,j'ai envie de…,,
338a49bc98bb,eng Paschtéit,f,un vol-au-vent,,
75aef2a12dd6,d'Broschett,f,"un kebab, une brochette",,
a5e30aa92f3f,gitt mir…,,donne-moi…,,
c9174a8216d1,d'Salz,n,le sel,,
3584f91430a7,de Peffer,m,le poivre,,
aed64032c4a2,de Rescht,m,le reste,,
6f85a8aa04be,schëdden,,verser,,
8b9b91066dea,schielen,,peler,,
375075e54424,e Rondel[en],m,un cercle,,
fde4fd2803be,ofschmaachen,,"assaisonner, saveur",,
c3384f439cbb,opkachten,,porter à ébullition,,
8ed71de8032f,e Paangech[er],m,"une crêpe, une pancake",,
f7566a5805c3,eng Etapp,f,"une étape, un stade",,
104cc5d76da9,mielzeg,,"farineux, farineux",,
393a27c50939,eng Muskatnoss,f,une noix de muscade (noix),,
330278ee01c1,d'Kachzäit,f,le temps de cuisson,,
2a9c407e5e0d,de Kichelchen [Kichelcher],m,un biscuit,,
82ddd24e14ce,broden,,"frire, rôtir, cuire au four",,
11ac3e97a93b,en Geeg,m,une pâte,,
fb1c938739e8,rappen,,râper,,
72f53755cc81,pro …,,pour… / pour…,,
e433b3561599,plattdrécken,,"aplatir, écraser",,
214d80208feb,e Läffel,m,une cuillère,,
dc721b46e700,den Ueleg,m,l'huile,,
a75737d9b270,matdeelen,,"annoncer, partager avec",,
4aa85698f025,monter,,"vif, alerte",,
5f556ff53f53,d'Basilika,f,la basilique,,
22cefcb0fe1a,eng Freed,f,"une joie, un plaisir",,
6e079f424f67,en Hochzäitskont,m,un compte de mariage,,
ffdc44927bf2,e Geste,m,un geste,,
c71da5770651,gratuléieren,,féliciter,,
1314765acb21,häerzlech,,"chaleureux, sincère",,
c18a32d957f7,wënschen,,souhaiter (pour quelqu'un d'autre),,
ca2e20f813aa,d'Enkelkanner,n,les petits-enfants (pl),,
661ee11a550d,e Projet,m,"un plan, un projet",,
dc0ba20f4bc0,d'Nout,f,"détresse, adversité",,
b93753b5bc55,en Don,m,un don,,
b9d9a7381c9f,e Kont,m,un compte bancaire,,
2d08ec87cd30,ënnerstëtzen,,pour soutenir (aider),,
50b5238f5329,feieren,,célébrer / fêter,,
c2d5319caebe,d'Brautpuer,n,le couple de mariés,,
6a745b9393d5,d'Geschwëster,n,les frères et sœurs,,
7ee29ee095b4,en Enkel (/) eng Enkelin,m / f,un petit-fils / une petite-fille,,
430955700d06,e Cousin (/) eng Cousine,m / f,un cousin,,
8e5f7ae4cb60,en Neveu,m,un neveu,,
90ee7fc1249f,eng Niess,f,une nièce,,
138d70a818a3,de Stammbam,m,l'arbre généalogique,,
a7153eec8dd0,kenneléieren,,rencontrer / faire la connaissance de,,
ac09508f7b20,adoptéieren,,adopter,,
1f1c1d7e48ae,Lettland,,Lettonie,,
003820b2a2c0,Norwegen,,Norvège,,
8b1b5a5f1868,en Aquarium,m,un aquarium,,
2426289f9dd8,formuléieren,,"formuler, exprimer",,
0a10a541a9fa,e Frang,m,un franc (monnaie),,
835f8fcb5667,eng Bank,f,une banque,,
5830dd450248,tanken,,faire le plein (de carburant),,
99c8b621ca22,enk,,"étroit, exigu",,
5778899754be,d'Schank,f,l'os,,
6dd0a4ac1546,de Rank [Réng],m,la bague,,
163878b72c38,léif,,"joli, charmant",,
421d89578065,béis,,"méchant, désagréable",,
101596a8b281,bekannt,,bien connu,,
26d0be231d9d,d'Bezéiung,,les relations (contact),,
0c0bad25d0e4,eng Glatz,,une tête chauve,,
edb566ee4b44,e Schnauz,,une moustache,,
448fd4da3e33,bestëmmt,,certainement,,
7dc89da5ebff,iwwerall,,partout,,
96ec5130da0e,eréischt,,"seulement, ne…que",,
1643582809c3,de Contraire,m,"le contraire, opposé",,
58f5c85ef6d2,dréngend,,urgent,,
1178fce47348,de Knéi,m,le genou,,
b6da1de4cb8a,hu(nn)…wéi,,avoir mal à…,,
37961ba22d3d,de Patient,m,le patient,,
0c242ee1b93b,e Schnapp,m,"un rhume, un nez qui coule",,
4fe4786c0c4f,eng Migrän[en],f,une migraine,,
56c8b4ddabf5,den Houscht,m,la toux,,
d27d73694c75,e Féiwer,n,une fièvre,,
9890bd34075d,et ass mir schlecht,,Je me sens mal / malade,,
5edae19a8c48,e Message,m,un message,,
a31475f22b33,eng Excuse,f,"une excuse, une justification",,
0deba0416ba2,d'Gripp,f,la grippe,,
28471c5f23bd,erwaarden,,attendre (un bébé),,
0eb126525ed7,eng Illusioun,f,une illusion,,
881c9bb58b93,glécklech,,"heureux, heureusement",,
2b7109f5ee7f,e Komponist,m,un compositeur,,
8e61187f8672,en Auteur,m,un auteur,,
bae9429b0d9c,e Strummert,m,"un clochard, un vagabond",,
851f7770c16a,eng Ditti,f,une vieille femme (argot),,
faa6472b5035,eng Fassad,f,une façade,,
ef632b73c7b2,gëllen,,"pour être valide, compte",,
fe8c5af310c8,de Regisseur,m,"le réalisateur, le metteur en scène",,
be3daf08824d,Schueberfouer,,fête foraine à Luxembourg,,
